year	gender	count
1873	F	395058
1873	M	414429
1874	F	409229
1874	M	426884
1875	F	422608
1875	M	446518
1876	F	438647
1876	M	464299
1877	F	434829
1877	M	455689
1878	F	425139
1878	M	449744
1879	F	427073
1879	M	449646
1880	F	431257
1880	M	452327
1881	F	464479
1881	M	476864
1882	F	448526
1882	M	474189
1883	F	492460
1883	M	512529
1884	F	478148
1884	M	497104
1885	F	500811
1885	M	523763
1886	F	514373
1886	M	536244
1887	F	516094
1887	M	542043
1888	F	572545
1888	M	600184
1889	F	592047
1889	M	617863
1890	F	559253
1890	M	586121
1891	F	531843
1891	M	554932
1892	F	589800
1892	M	617234
1893	F	576106
1893	M	602322
1894	F	588139
1894	M	620844
1895	F	607532
1895	M	638895
1896	F	630710
1896	M	651468
1897	F	650184
1897	M	683941
1898	F	673501
1898	M	696137
1899	F	673539
1899	M	713442
1900	F	692618
1900	M	727916
1901	F	732097
1901	M	769494
1902	F	737539
1902	M	773296
1903	F	726010
1903	M	763806
1904	F	702141
1904	M	738230
1905	F	716822
1905	M	735948
1906	F	668140
1906	M	726155
1907	F	796358
1907	M	818114
1908	F	812606
1908	M	850209
1909	F	829995
1909	M	863855
1910	F	840078
1910	M	872779
1911	F	856754
1911	M	891049
1912	F	851225
1912	M	886449
1913	F	859617
1913	M	897824
1914	F	882547
1914	M	925855
1915	F	881030
1915	M	918296
1916	F	883475
1916	M	921347
1917	F	887460
1917	M	924953
1918	F	877307
1918	M	914685
1919	F	868285
1919	M	910400
1920	F	990430
1920	M	1035134
1921	F	973419
1921	M	1017457
1922	F	965292
1922	M	1004022
1923	F	999698
1923	M	1043599
1924	F	978532
1924	M	1019988
1925	F	1025264
1925	M	1060827
1926	F	1022611
1926	M	1081793
1927	F	1011791
1927	M	1048946
1928	F	1045150
1928	M	1090702
1929	F	1018360
1929	M	1058666
1930	F	1015549
1930	M	1069551
1931	F	1029399
1931	M	1073385
1932	F	1064788
1932	M	1117954
1933	F	1033565
1933	M	1087688
1934	F	1001047
1934	M	1042736
1935	F	1067836
1935	M	1122867
1936	F	1025772
1936	M	1076197
1937	F	1064580
1937	M	1116154
1938	F	937433
1938	M	990888
1939	F	927829
1939	M	973744
1940	F	1031585
1940	M	1084282
1941	F	1111846
1941	M	1165437
1942	F	1088592
1942	M	1145068
1943	F	1097552
1943	M	1155983
1947	F	1301806
1947	M	1376986
1948	F	1303060
1948	M	1378564
1949	F	1316630
1949	M	1380008
1950	F	1134396
1950	M	1203111
1951	F	1043048
1951	M	1094641
1952	F	977101
1952	M	1028061
1953	F	910516
1953	M	957524
1954	F	858368
1954	M	911212
1955	F	841022
1955	M	889670
1956	F	809194
1956	M	856084
1957	F	761493
1957	M	805220
1958	F	804736
1958	M	848733
1959	F	790266
1959	M	835822
1960	F	781280
1960	M	824761
1961	F	771773
1961	M	817599
1962	F	785347
1962	M	833269
1963	F	806960
1963	M	852561
1964	F	833837
1964	M	882924
1965	F	888331
1965	M	935366
1966	F	655511
1966	M	705463
1967	F	942869
1967	M	992778
1968	F	903843
1968	M	967996
1969	F	912128
1969	M	977687
1970	F	933836
1970	M	1000403
1971	F	968036
1971	M	1032937
1972	F	987293
1972	M	1051389
1973	F	1014466
1973	M	1077517
1974	F	983451
1974	M	1046538
1975	F	922349
1975	M	979091
1976	F	888788
1976	M	943829
1977	F	851720
1977	M	903380
1978	F	829494
1978	M	879149
1979	F	796696
1979	M	845884
1980	F	765471
1980	M	811418
1981	F	742859
1981	M	786596
1982	F	737537
1982	M	777855
1983	F	733481
1983	M	775206
1984	F	725183
1984	M	764597
1985	F	696293
1985	M	735284
1986	F	671645
1986	M	711301
1987	F	654354
1987	M	692304
1988	F	639123
1988	M	674883
1989	F	606296
1989	M	640506
1990	F	594614
1990	M	626971
1991	F	594630
1991	M	628615
1992	F	586853
1992	M	622136
1993	F	578038
1993	M	610244
1994	F	602413
1994	M	635915
1995	F	578517
1995	M	608547
1996	F	586762
1996	M	619793
1997	F	580760
1997	M	610905
1998	F	585733
1998	M	617414
1999	F	572900
1999	M	604769
2000	F	578399
2000	M	612148
2001	F	569744
2001	M	600918
2002	F	561015
2002	M	592840
2003	F	546874
2003	M	576736
2004	F	541162
2004	M	569559
2005	F	517498
2005	M	545032
2006	F	532235
2006	M	560439
2007	F	529971
2007	M	559847
2008	F	531643
2008	M	559513
2009	F	521042
2009	M	548994
2010	F	520562
2010	M	550743
2011	F	512536
2011	M	538271
2012	F	505451
2012	M	531781
2013	F	502160
2013	M	527657
2014	F	488037
2014	M	515572
2015	F	490253
2015	M	515468
2016	F	475230
2016	M	502012
2017	F	461668
2017	M	484478
2018	F	447549
2018	M	470851
2019	F	421809
2019	M	443430
2020	F	410122
2020	M	430713
2021	F	395719
2021	M	415903
2022	F	375502
2022	M	395257
2023	F	354685
2023	M	372603
