Year	Total	Male	Female	Ratio
1873	809487	414429	395058	104.9	
1874	836113	426884	409229	104.3	
1875	869126	446518	422608	105.7	
1876	902946	464299	438647	105.8	
1877	890518	455689	434829	104.8	
1878	874883	449744	425139	105.8	
1879	876719	449646	427073	105.3	
1880	883584	452327	431257	104.9	
1881	941343	476864	464479	102.7	
1882	922715	474189	448526	105.7	
1883	1004989	512529	492460	104.1	
1884	975252	497104	478148	104.0	
1885	1024574	523763	500811	104.6	
1886	1050617	536244	514373	104.3	
1887	1058137	542043	516094	105.0	
1888	1172729	600184	572545	104.8	
1889	1209910	617863	592047	104.4	
1890	1145374	586121	559253	104.8	
1891	1086775	554932	531843	104.3	
1892	1207034	617234	589800	104.7	
1893	1178428	602322	576106	104.6	
1894	1208983	620844	588139	105.6	
1895	1246427	638895	607532	105.2	
1896	1282178	651468	630710	103.3	
1897	1334125	683941	650184	105.2	
1898	1369638	696137	673501	103.4	
1899	1386981	713442	673539	105.9	
1900	1420534	727916	692618	105.1	
1901	1501591	769494	732097	105.1	
1902	1510835	773296	737539	104.8	
1903	1489816	763806	726010	105.2	
1904	1440371	738230	702141	105.1	
1905	1452770	735948	716822	102.7	
1906	1394295	726155	668140	108.7	
1907	1614472	818114	796358	102.7	
1908	1662815	850209	812606	104.6	
1909	1693850	863855	829995	104.1	
1910	1712857	872779	840078	103.9	
1911	1747803	891049	856754	104.0	
1912	1737674	886449	851225	104.1	
1913	1757441	897824	859617	104.4	
1914	1808402	925855	882547	104.9	
1915	1799326	918296	881030	104.2	
1916	1804822	921347	883475	104.3	
1917	1812413	924953	887460	104.2	
1918	1791992	914685	877307	104.3	
1919	1778685	910400	868285	104.9	
1920	2025564	1035134	990430	104.5	
1921	1990876	1017457	973419	104.5	
1922	1969314	1004022	965292	104.0	
1923	2043297	1043599	999698	104.4	
1924	1998520	1019988	978532	104.2	
1925	2086091	1060827	1025264	103.5	
1926	2104405	1081793	1022611	105.8	
1927	2060737	1048946	1011791	103.7	
1928	2135852	1090702	1045150	104.4	
1929	2077026	1058666	1018360	104.0	
1930	2085101	1069551	1015549	105.3	
1931	2102784	1073385	1029399	104.3	
1932	2182742	1117954	1064788	105.0	
1933	2121253	1087688	1033565	105.2	
1934	2043783	1042736	1001047	104.2	
1935	2190704	1122867	1067836	105.2	
1936	2101969	1076197	1025772	104.9	
1937	2180734	1116154	1064580	104.8	
1938	1928321	990888	937433	105.7	
1939	1901573	973744	927829	104.9	
1940	2115867	1084282	1031585	105.1	
1941	2277283	1165437	1111846	104.8	
1942	2233660	1145068	1088592	105.2	
1943	2253535	1155983	1097552	105.3	
1947	2678792	1376986	1301806	105.8	
1948	2681624	1378564	1303060	105.8
1949	2696638	1380008	1316630	104.8
1950	2337507	1203111	1134396	106.1
1951	2137689	1094641	1043048	104.9
1952	2005162	1028061	977101	105.2
1953	1868040	957524	910516	105.2
1954	1769580	911212	858368	106.2
1955	1730692	889670	841022	105.8
1956	1665278	856084	809194	105.8
1957	1566713	805220	761493	105.7
1958	1653469	848733	804736	105.5
1959	1626088	835822	790266	105.8
1960	1606041	824761	781280	105.6
1961	1589372	817599	771773	105.9
1962	1618616	833269	785347	106.1
1963	1659521	852561	806960	105.7
1964	1716761	882924	833837	105.9
1965	1823697	935366	888331	105.3
1966	1360974	705463	655511	107.6
1967	1935647	992778	942869	105.3
1968	1871839	967996	903843	107.1
1969	1889815	977687	912128	107.2
1970	1934239	1000403	933836	107.1
1971	2000973	1032937	968036	106.7
1972	2038682	1051389	987293	106.5
1973	2091983	1077517	1014466	106.2
1974	2029989	1046538	983451	106.4
1975	1901440	979091	922349	106.2
1976	1832617	943829	888788	106.2
1977	1755100	903380	851720	106.1
1978	1708643	879149	829494	106.0
1979	1642580	845884	796696	106.2
1980	1576889	811418	765471	106.0
1981	1529455	786596	742859	105.9
1982	1515392	777855	737537	105.5
1983	1508687	775206	733481	105.7
1984	1489780	764597	725183	105.4
1985	1431577	735284	696293	105.6
1986	1382946	711301	671645	105.9
1987	1346658	692304	654354	105.8
1988	1314006	674883	639123	105.6
1989	1246802	640506	606296	105.6
1990	1221585	626971	594614	105.4
1991	1223245	628615	594630	105.7
1992	1208989	622136	586853	106.0
1993	1188282	610244	578038	105.6
1994	1238328	635915	602413	105.6
1995	1187064	608547	578517	105.2
1996	1206555	619793	586762	105.6
1997	1191665	610905	580760	105.2
1998	1203147	617414	585733	105.4
1999	1177669	604769	572900	105.6
2000	1190547	612148	578399	105.8
2001	1170662	600918	569744	105.5
2002	1153855	592840	561015	105.7
2003	1123610	576736	546874	105.5
2004	1110721	569559	541162	105.2
2005	1062530	545032	517498	105.3
2006	1092674	560439	532235	105.3
2007	1089818	559847	529971	105.6
2008	1091156	559513	531643	105.2
2009	1070036	548994	521042	105.4
2010	1071305	550743	520562	105.8
2011	1050807	538271	512536	105.0
2012	1037232	531781	505451	105.2
2013	1029817	527657	502160	105.1
2014	1003609	515572	488037	105.6
2015	1005721	515468	490253	105.1
2016	977242	502012	475230	105.6
2017	946146	484478	461668	104.9
2018	918400	470851	447549	105.2
2019	865239	443430	421809	105.1
2020	840835	430713	410122	105.0
2021	811622	415903	395719	105.1
2022	770759	395257	375502	105.3
2023	727288	372603	354685	105.1



